sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.25,static_budgeted,0,9,696.0,710.0,732.0,0.0,0.0,0.8849918842315674,0.9858585858585859
0.25,random_budgeted,0,9,721.0,739.0,763.0,0.0,0.0,0.6406712532043457,1.0276094276094276
0.25,hebbian_frobenius,0,9,653.0,653.0,709.0,0.038571283299367695,-0.04060479396342834,18.571362733840942,0.9548821548821549
0.25,hybrid_frobenius,0,9,653.0,653.0,709.0,0.038571283299367695,-0.04060479396342834,19.617119550704956,0.9548821548821549
0.25,oracle_compensation,0,9,737.0,746.0,757.0,1.0,-1.0,1.1568567752838135,1.0195286195286195
0.5,static_budgeted,0,0,727.0,727.0,745.0,0.0,0.0,1.0991272926330566,1.0033670033670035
0.5,random_budgeted,0,0,709.0,736.0,751.0,0.0,0.0,0.8104114532470703,1.0114478114478114
0.5,hebbian_frobenius,0,0,663.0,665.0,705.0,0.10410866923589857,-0.10044818949846405,91.57991671562195,0.9494949494949495
0.5,hybrid_frobenius,0,0,660.0,664.0,705.0,0.10410866923589857,-0.10044818949846405,95.13411712646484,0.9494949494949495
0.5,oracle_compensation,0,0,711.0,734.0,754.0,1.0,-1.0,1.069448471069336,1.0154882154882154
0.5,static_budgeted,0,1,713.0,727.0,749.0,0.0,0.0,1.2407963275909424,1.0087542087542087
0.5,random_budgeted,0,1,716.0,723.0,746.0,0.0,0.0,1.1768088340759277,1.0047138047138047
0.5,hebbian_frobenius,0,1,635.0,635.0,721.0,0.16761342597754778,-0.16116323673000937,52.79419136047363,0.971043771043771
0.5,hybrid_frobenius,0,1,635.0,635.0,721.0,0.16761342597754778,-0.16116323673000937,55.2854323387146,0.971043771043771
0.5,oracle_compensation,0,1,731.0,734.0,749.0,1.0,-1.0,1.1321477890014648,1.0087542087542087
0.5,static_budgeted,0,2,709.0,709.0,739.0,0.0,0.0,1.2690768241882324,0.9952861952861953
