sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.5,hebbian_frobenius,0,2,672.0,672.0,724.0,0.03157141368415146,-0.047840563507729916,74.49666380882263,0.9750841750841751
0.5,hybrid_frobenius,0,2,672.0,672.0,724.0,0.03157141368415146,-0.047840563507729916,77.61076855659485,0.9750841750841751
0.5,oracle_compensation,0,2,707.0,732.0,747.0,1.0,-1.0,1.1615502834320068,1.006060606060606
0.5,static_budgeted,0,3,661.0,694.0,725.0,0.0,0.0,1.3253817558288574,0.9764309764309764
0.5,hebbian_frobenius,0,3,653.0,653.0,736.0,0.02675242419393515,-0.010088350656810555,75.34120082855225,0.9912457912457913
0.5,hybrid_frobenius,0,3,653.0,653.0,736.0,0.02675242419393515,-0.010088350656810555,76.96786785125732,0.9912457912457913
0.5,oracle_compensation,0,3,713.0,725.0,751.0,1.0,-1.0,1.1271822452545166,1.0114478114478114
0.5,static_budgeted,0,4,702.0,721.0,742.0,0.0,0.0,1.258439064025879,0.9993265993265993
0.5,hebbian_frobenius,0,4,647.0,647.0,718.0,0.11306477860838894,-0.10760781313000181,37.980788707733154,0.967003367003367
0.5,hybrid_frobenius,0,4,647.0,647.0,718.0,0.11306477860838894,-0.10760781313000181,39.39141631126404,0.967003367003367
0.5,oracle_compensation,0,4,721.0,721.0,739.0,1.0,-1.0,1.0945637226104736,0.9952861952861953
0.5,static_budgeted,0,5,697.0,702.0,741.0,0.0,0.0,1.0199031829833984,0.997979797979798
0.5,hebbian_frobenius,0,5,630.0,641.0,724.0,0.18812292892888002,-0.20721541303247246,87.7047803401947,0.9750841750841751
0.5,hybrid_frobenius,0,5,630.0,636.0,730.0,0.18812292892888002,-0.20721541303247246,90.94403171539307,0.9831649831649831
0.5,oracle_compensation,0,5,730.0,739.0,767.0,1.0,-1.0,1.311718225479126,1.032996632996633
0.5,static_budgeted,0,6,684.0,706.0,737.0,0.0,0.0,1.230456829071045,0.9925925925925926
0.5,hebbian_frobenius,0,6,675.0,675.0,762.0,0.13562483640736703,-0.0930255326596267,24.058244466781616,1.0262626262626262
0.5,hybrid_frobenius,0,6,675.0,675.0,762.0,0.13562483640736703,-0.0930255326596267,25.029202461242676,1.0262626262626262
0.5,oracle_compensation,0,6,702.0,739.0,753.0,1.0,-1.0,1.059103012084961,1.0141414141414142
0.5,static_budgeted,0,7,708.0,724.0,744.0,0.0,0.0,1.3827605247497559,1.002020202020202
0.5,hebbian_frobenius,0,7,627.0,627.0,712.0,0.13414178751755884,-0.166643132903046,41.477352142333984,0.958922558922559
